,Days,Index
0,0,19002.859375
1,1,18542.55078125
2,2,18168.26953125
3,3,18193.41015625
4,7,18850.919921875
5,8,18677.419921875
6,9,18833.2890625
7,10,18956.55078125
8,13,19437.23046875
9,14,19196.5703125
10,15,18897.75
11,16,19008.009765625
12,17,18878.08984375
13,20,19056.7109375
14,21,18895.529296875
15,22,19111.189453125
16,23,19209.720703125
17,24,19434.779296875
18,27,19539.69921875
19,28,19423.380859375
20,29,19578.91015625
21,30,19786.419921875
22,31,19763.130859375
23,34,19945.4296875
24,35,19868.880859375
25,36,20007.76953125
26,37,19710.01953125
27,41,19556.4609375
28,42,19367.830078125
29,43,19599.1796875
30,44,19791.400390625
31,45,19789.029296875
32,48,19543.75
33,49,19390.580078125
34,50,19519.55078125
35,51,19571.439453125
36,52,19817.880859375
37,55,19720.099609375
38,56,19959.51953125
39,57,20081.669921875
40,58,20065.109375
41,59,19927.5390625
42,62,19796.349609375
43,63,19944.240234375
44,64,19766.80078125
45,65,19662.330078125
46,66,19750.400390625
47,69,19189.9296875
48,70,19141.83984375
49,71,19078.599609375
50,72,19253.23046875
51,73,19566.3203125
52,77,19602.359375
53,78,19733.58984375
54,79,19704.599609375
55,80,19958.080078125
56,83,20281.029296875
57,84,20374.33984375
58,85,20706.650390625
59,86,20441.5
60,87,20337.3203125
61,90,20726.990234375
62,91,20594.9296875
63,92,20462.76953125
64,93,20223.609375
65,94,20252.810546875
66,97,20619.060546875
67,98,20522.51953125
68,99,20833.2109375
69,100,20526.419921875
70,101,20434.6796875
71,104,19008.640625
72,105,18969.51953125
73,106,19086.619140625
74,107,18959.3203125
75,108,18252.6796875
76,111,18480.150390625
77,112,18272.330078125
78,113,18134.310546875
79,114,18019.169921875
80,115,17973.69921875
81,118,18403.080078125
82,119,18439.359375
83,125,18199.9609375
84,126,17844.5390625
85,127,17701.470703125
86,128,16882.4609375
87,129,17357.859375
88,132,17313.689453125
89,133,17551.25
90,134,17404.029296875
91,135,17031.630859375
92,136,16858.169921875
93,139,16386.009765625
94,140,16318.73046875
95,141,16044.4404296875
96,142,16247.8203125
97,143,16008.1396484375
98,146,16245.4404296875
99,147,16228.900390625
100,148,16332.4501953125
101,149,16694.30078125
102,150,16800.060546875
103,153,17201.7890625
104,154,17170.080078125
105,155,17144.9609375
106,156,17004.33984375
107,157,16861.91015625
108,160,16980.609375
109,161,16914.94921875
110,162,16654.419921875
111,163,16338.7001953125
112,164,16318.3095703125
113,167,16591.349609375
114,168,16907.55078125
115,169,17210.080078125
116,170,17106.009765625
117,171,16963.2109375
118,174,16925.400390625
119,175,17279.060546875
120,176,17370.169921875
121,177,17475.900390625
122,178,17411.05078125
123,181,17614.66015625
124,182,17470.150390625
125,183,17435.94921875
126,184,17282.369140625
127,185,17398.240234375
128,188,17572.6796875
129,189,17504.359375
130,190,17342.130859375
131,191,17036.900390625
132,192,17142.900390625
133,195,17286.830078125
134,196,16945.0703125
135,197,16983.5703125
136,199,16811.490234375
137,202,16547.119140625
138,203,16573.58984375
139,204,16502.609375
140,205,16182.009765625
141,206,15838.5703125
142,209,15727.490234375
143,210,16099.669921875
144,211,16206.1904296875
145,212,15814.4404296875
146,213,15667.3603515625
147,216,16002.7099609375
148,217,15820.1103515625
149,218,16034.599609375
150,219,15975.650390625
151,220,16117.5
152,223,16153.91015625
153,224,16298.2900390625
154,225,16356.0302734375
155,226,16161.0302734375
156,227,16280.490234375
157,230,16040.1796875
158,231,16454.740234375
159,232,16436.650390625
160,233,16670.8203125
161,234,16911.330078125
162,237,17181.119140625
163,238,17141.75
164,239,16901.669921875
165,240,16861.259765625
166,241,16739.779296875
167,244,16688.2109375
168,245,16452.26953125
169,246,16399.869140625
170,247,16300.4599609375
171,248,16501.55078125
172,251,16130.900390625
173,252,16040.23046875
174,253,16190.51953125
175,254,16213.2802734375
176,258,16061.16015625
177,259,16124.1904296875
178,260,16458.310546875
179,261,16311.0498046875
180,262,15818.25
181,265,15992.900390625
182,266,15928.6201171875
183,267,15639.9501953125
184,268,15626.9599609375
185,269,15747.259765625
186,272,15902.509765625
187,273,15912.08984375
188,274,16149.080078125
189,275,16099.259765625
190,276,15994.240234375
191,280,15827.7197265625
192,281,15513.5703125
193,282,15550.6396484375
194,283,15330.3095703125
195,286,15512.3203125
196,287,15340.2197265625
197,288,14872.48046875
198,289,14811.080078125
199,290,15198.73046875
200,293,15097.9599609375
201,294,15148.1904296875
202,295,14840.4697265625
203,296,14858.4296875
204,297,14582.2001953125
205,300,14464.5595703125
206,301,14539.599609375
207,302,14872.3896484375
208,303,14837.7802734375
209,307,15371.4404296875
210,308,15340.330078125
211,309,15399.6396484375
212,310,15060.0498046875
213,311,14988.5400390625
214,314,14664.6396484375
215,315,14660.0400390625
216,316,14799.1396484375
217,317,14587.0302734375
218,318,14544.2998046875
219,321,14531.650390625
220,322,14408.4599609375
221,323,14301.3095703125
222,325,14315.349609375
223,328,14720.3896484375
224,329,14658.8701171875
225,330,14507.6396484375
226,331,14648.509765625
227,332,14835.330078125
228,335,14954.73046875
229,336,14695.0498046875
230,337,14889.3701171875
231,338,14720.3603515625
232,339,14696.509765625
233,342,15015.7001953125
234,343,15114.6396484375
235,344,15168.6796875
236,345,14927.1904296875
237,346,14552.2900390625
238,349,14483.900390625
239,350,14132.3701171875
240,351,13914.4296875
241,352,13423.2099609375
242,353,13427.080078125
243,356,13931.6103515625
244,357,14007.849609375
245,358,13981.490234375
246,359,13946.9599609375
247,360,13785.6904296875
248,366,13691.490234375
249,367,13867.6103515625
250,371,13610.509765625
251,372,13432.650390625
252,373,13201.0703125
253,374,13347.740234375
254,377,13506.23046875
255,378,13584.4501953125
256,379,13667.6298828125
257,380,13873.919921875
258,381,13989.1201171875
259,384,14032.419921875
260,385,13984.66015625
261,386,13893.580078125
262,387,13803.3798828125
263,388,13696.0595703125
264,391,13845.2802734375
265,392,13826.650390625
266,393,13843.5498046875
267,394,13779.5498046875
268,395,13703.6298828125
269,398,13385.51953125
270,399,13269.849609375
271,400,13366.009765625
272,401,13138.23046875
273,402,13422.830078125
274,406,13274.7001953125
275,407,13284.0595703125
276,408,13327.3896484375
277,409,13175.490234375
278,412,13119.58984375
279,413,13248.3603515625
280,414,13100.080078125
281,415,13073.3603515625
282,416,13246.0
283,419,13201.1396484375
284,420,13059.8603515625
285,421,12883.5400390625
286,422,12681.66015625
287,423,12261.7998046875
288,426,12322.16015625
289,427,12687.740234375
290,428,12723.8896484375
291,429,12650.5595703125
292,430,12627.900390625
293,433,12171.3701171875
294,434,11819.7001953125
295,435,11843.58984375
296,436,12152.830078125
297,437,12232.98046875
298,440,12190.9697265625
299,442,13103.9404296875
300,443,12853.9697265625
301,444,13214.5400390625
302,447,13862.3095703125
303,448,13638.330078125
304,449,13765.509765625
305,450,13072.3603515625
306,451,12999.7001953125
307,454,12937.8603515625
308,455,13124.4697265625
309,456,13242.7802734375
310,457,13381.3798828125
311,458,13383.759765625
312,461,12841.759765625
313,462,12620.26953125
314,463,13174.9296875
315,464,13352.4404296875
316,465,13385.7197265625
317,468,13254.8896484375
318,469,13067.08984375
319,470,13641.7900390625
320,471,13868.2802734375
321,472,13765.669921875
322,475,13715.599609375
323,476,13743.1796875
324,477,13827.5
325,478,13973.0302734375
326,479,13934.3203125
327,483,14425.4599609375
328,484,14421.6396484375
329,489,14529.41015625
330,490,14289.0498046875
331,491,14084.849609375
332,492,14017.7900390625
333,493,14043.919921875
334,496,13873.01953125
335,497,14054.0302734375
336,498,13694.26953125
337,499,13910.669921875
338,500,13877.76953125
339,503,14176.830078125
340,504,14091.1904296875
341,505,14067.7001953125
342,506,13895.7900390625
343,507,13765.919921875
344,510,13737.76953125
345,511,13773.8896484375
346,512,13493.349609375
347,513,13262.1396484375
348,514,13261.83984375
349,517,13312.349609375
350,518,13182.0
351,519,13174.83984375
352,520,13277.509765625
353,521,13430.2197265625
354,524,13226.48046875
355,525,12840.099609375
356,526,12823.4501953125
357,527,12846.66015625
358,528,12790.3798828125
359,531,12697.7900390625
360,532,12574.259765625
361,533,12674.6396484375
362,534,12962.4296875
363,535,13044.6103515625
364,538,12896.4697265625
365,539,12978.8203125
366,540,12828.98046875
367,541,12679.8798828125
368,542,12969.0498046875
369,545,12751.1796875
370,546,12817.41015625
371,547,12629.01953125
372,548,12607.2998046875
373,549,12306.080078125
374,552,12239.6796875
375,553,12300.41015625
376,554,12005.1103515625
377,555,12407.9501953125
378,556,12355.150390625
379,559,12343.3701171875
380,560,12128.5703125
381,561,11892.580078125
382,562,11908.3896484375
383,566,11609.6298828125
384,567,11883.25
385,568,11891.6103515625
386,569,11858.5595703125
387,570,11798.080078125
388,573,11579.26953125
389,574,11860.76953125
390,575,11959.330078125
391,576,12399.2001953125
392,577,12241.9697265625
393,580,12243.900390625
394,581,12319.4599609375
395,582,12163.669921875
396,583,11754.5595703125
397,584,11735.0595703125
398,587,11477.5595703125
399,588,11917.9501953125
400,589,11755.400390625
401,590,11515.01953125
402,591,11445.5400390625
403,594,11257.9404296875
404,595,11280.3798828125
405,596,11396.4296875
406,597,11126.919921875
407,598,11166.3095703125
408,601,11275.009765625
409,602,11189.400390625
410,603,10979.759765625
411,604,10938.4501953125
412,605,10713.509765625
413,608,10409.6796875
414,609,10772.58984375
415,610,10598.7900390625
416,611,10650.330078125
417,612,10516.7900390625
418,615,10195.6904296875
419,616,10292.9501953125
420,617,9610.099609375
421,618,9613.08984375
422,619,10008.8896484375
423,622,9504.41015625
424,623,9679.8798828125
425,624,9939.599609375
426,625,9785.16015625
427,626,9554.990234375
428,630,9693.9697265625
429,631,9641.7001953125
430,632,9696.5302734375
431,633,9774.6796875
432,636,9972.2802734375
433,637,10136.5595703125
434,638,9924.23046875
435,639,10205.48046875
436,640,10205.8701171875
437,644,10011.76953125
438,645,9964.8798828125
439,646,10347.009765625
440,647,10632.349609375
441,650,10452.5400390625
442,651,10637.8203125
443,652,10755.4501953125
444,653,10474.849609375
445,654,10538.7900390625
446,657,10565.41015625
447,658,10861.5595703125
448,659,10802.150390625
449,660,10880.099609375
450,661,10795.16015625
451,664,10612.3095703125
452,665,10512.8203125
453,666,10366.33984375
454,667,10347.2802734375
455,668,10383.7802734375
456,671,10447.5400390625
457,672,10633.7197265625
458,673,10284.98046875
459,674,10431.7900390625
460,675,10215.7099609375
461,678,10081.5595703125
462,679,10030.5595703125
463,680,10086.759765625
464,681,10489.8896484375
465,682,10649.08984375
466,685,10727.9404296875
467,686,10575.6201171875
468,687,10661.080078125
469,688,10696.8203125
470,692,11064.2998046875
471,693,10948.8896484375
472,694,10624.8095703125
473,695,10655.9599609375
474,696,10697.4404296875
475,699,10370.6201171875
476,700,10452.650390625
477,701,10713.8095703125
478,702,10857.2802734375
479,703,10796.8896484375
480,706,10571.009765625
481,707,10473.91015625
482,708,10801.51953125
483,709,10433.4501953125
484,710,10511.650390625
485,713,10323.349609375
486,714,10432.169921875
487,715,10471.9296875
488,716,10434.51953125
489,717,10335.4501953125
490,721,10254.8095703125
491,722,10192.5703125
492,723,10457.6103515625
493,724,10542.6201171875
494,731,10871.490234375
495,734,10942.3603515625
496,735,10695.599609375
497,736,10663.98046875
498,737,10538.4296875
499,738,10441.58984375
500,742,10208.0498046875
501,743,10177.580078125
502,744,10128.1796875
503,745,10293.3203125
504,748,10280.25
